Kabupaten/Kota,,,
,Proyeksi Penduduk Provinsi Bali Menurut Kabupaten/Kota dan Jenis Kelamin (Ribu Jiwa),,
,Laki-laki,Perempuan,Laki-Laki + Perempuan
,2020,2020,2020
Kab. Jembrana,158.73,158.33,317.06
Kab. Tabanan,231.45,230.18,461.63
Kab. Badung,274.58,273.61,548.19
Kab. Gianyar,258.45,256.89,515.34
Kab. Klungkung,103.66,103.27,206.93
Kab. Bangli,130.31,128.41,258.72
Kab. Karangasem,249.5,242.91,492.4
Kab. Buleleng,398.13,393.68,791.81
Kota Denpasar,366.3,359.01,725.31
Provinsi Bali,2171.11,2146.3,4317.4